iter	CrossEntropy
0	0.6606696448
1	0.6314139841
2	0.6026010706
3	0.5732176484
4	0.5479583734
5	0.5281938688
6	0.5071886651
7	0.4872638931
8	0.4693298398
9	0.449523016
10	0.4342591043
11	0.4202541459
12	0.406662098
13	0.3952944429
14	0.379468113
15	0.3683871382
16	0.3584199543
17	0.3486048068
18	0.3390705268
19	0.3313396467
20	0.3227870701
21	0.3153274481
22	0.3075104021
23	0.3018124094
24	0.2942559564
25	0.2884730002
26	0.282819066
27	0.2772846372
28	0.2727386398
29	0.2672013358
30	0.2623448974
31	0.2572408773
32	0.2532330555
33	0.2483946436
34	0.2441653262
35	0.2398983797
36	0.2357573911
37	0.2322338915
38	0.2288826597
39	0.2265261976
40	0.2232182398
41	0.2204571646
42	0.217681982
43	0.2151587126
44	0.2130810613
45	0.2105781981
46	0.2081404839
47	0.2049825077
48	0.202705825
49	0.2004591949
50	0.1982668906
51	0.1958456667
52	0.1938746766
53	0.1919584935
54	0.1900913079
55	0.1881254316
56	0.1863153448
57	0.1846207841
58	0.1825921339
59	0.1808107231
60	0.1788415566
61	0.1767030458
62	0.1752479756
63	0.174037094
64	0.1727995039
65	0.171676278
66	0.1703948854
67	0.1691954411
68	0.1681840216
69	0.1672265292
70	0.1662190305
71	0.1649651867
72	0.163825891
73	0.1627888712
74	0.1616441385
75	0.1602075873
76	0.1589967534
77	0.1575267536
78	0.1564588744
79	0.1557444045
80	0.1549264749
81	0.1539258995
82	0.1532151311
83	0.1524601601
84	0.151468935
85	0.1505832515
86	0.1499110972
87	0.149210913
88	0.1482174796
89	0.1476006188
90	0.1468985364
91	0.1462017205
92	0.1455105499
93	0.144804033
94	0.1440164363
95	0.1430837722
96	0.1425021214
97	0.1418473615
98	0.1413738167
99	0.1405784103
100	0.1397837399
101	0.1392989203
102	0.1387369146
103	0.1379265955
104	0.1371748168
105	0.1366564318
106	0.1363037488
107	0.1355814363
108	0.1349978157
109	0.134573137
110	0.1340196668
111	0.133404036
112	0.1329879267
113	0.1322437358
114	0.1315876249
115	0.1311326978
116	0.1305671838
117	0.1300482472
118	0.1293777057
119	0.1288547932
120	0.128555943
121	0.1282348382
122	0.1278541264
123	0.1274739079
124	0.1270454645
125	0.1266668159
126	0.1263731831
127	0.1258649442
128	0.1254329875
129	0.1247011469
130	0.1241478436
131	0.1238793155
132	0.1235301069
133	0.1230678996
134	0.1227356274
135	0.1223462746
136	0.1219472868
137	0.1215312117
138	0.1210841731
139	0.1205937114
140	0.1201606772
141	0.119955532
142	0.1194923641
143	0.1192548803
144	0.1189304073
145	0.1185860091
146	0.1182637993
147	0.1178710716
148	0.117550931
149	0.1172135179
150	0.1167977799
151	0.1165698894
152	0.1162896843
153	0.1158891661
154	0.1156323853
155	0.115401866
156	0.115138971
157	0.1147860533
158	0.1143434287
159	0.1140399836
160	0.1137882232
161	0.1133740263
162	0.1131131636
163	0.1129178445
164	0.1126574019
165	0.1123142716
166	0.111916698
167	0.1116581705
168	0.1112345378
169	0.1108674243
170	0.1105405775
171	0.1100939957
172	0.109791248
173	0.1096205713
174	0.1092703088
175	0.109070341
